Avg. Price,Pur_Vol_No_Promo-%,Pur_Vol_Promo_6_%,Pur_Vol_Other_Promo_%,PropCat_5,PropCat_6,PropCat_7,PropCat_8,PropCat_12,PropCat_15
16.62,100,0,0,31.2,38.2,0,0,0,1.9
13.8,71.1,27.5,1.4,6.5,16.6,2.7,71.3,0,0
10.61,81.2,11.8,7,52.6,1,36.2,8,0,0
15.54,48.1,45.7,6.2,27.3,3.1,0,67.5,0,2.1
19.24,100,0,0,85,0,1.1,0,2.7,0
15.04,91.5,5.8,2.7,6,7.2,0,64.1,0,0
8.49,99.4,0.6,0,4.2,46.5,1,1.3,0,0
12.39,100,0,0,78.5,2.2,11.5,5.7,0,0
11.13,100,0,0,89.5,0,1.6,1.6,0.8,0
18.42,96.7,0,3.3,0,0,39.6,42.9,0,0
16.37,83.9,16.1,0,59.4,0,9.9,23,0,2.6
11.39,45.5,48.2,6.3,65,6.3,0,22.7,0,3.2
19.2,100,0,0,100,0,0,0,0,0
14.03,93.2,0,6.8,41.7,0,6.8,30.1,1.1,4.5
11.34,100,0,0,50.4,0,5.1,5.7,0,0
10.19,98.8,1.2,0,20.5,0,0,5.8,0,44.6
11.15,69.2,0.8,30,87.3,0,4.1,7.5,0,0
11.71,100,0,0,61.1,1.1,0,17.2,0,0
14.39,70.6,15.9,13.5,35.6,12.1,18.6,10.5,0,4.9
20.64,100,0,0,71.7,4.9,0,0,0,0
14.12,95.6,0,4.4,14.9,25,58.4,0,0,0
17,100,0,0,66.4,2.2,6.7,4.5,0,0
12.86,73.5,11.6,14.9,26.5,0,5.3,4,0,34.4
10.74,90.5,6.9,2.6,63.6,17.3,7.8,0,0,3.5
12.63,76.7,3,20.3,0,0,99.2,0,0,0
13.86,89.7,0,10.3,41.6,19.3,39.1,0,0,0
11.42,95.5,0,4.5,87.8,0,0,3.4,0,0
18.69,71.5,0,28.5,7.3,6.1,6.1,11.7,0,0
13.83,96,3,1,60.7,16.1,5,2,0,0
14.01,79.8,12.8,7.4,32.8,0,31,23.6,0,1.5
15.66,82.3,5.3,12.4,41.8,3,16.3,21.3,0,9.8
12.31,75.3,19.2,5.5,1.4,0,53,45.7,0,0
12.71,85.4,2.5,12.1,10.6,73.1,0,2.5,1.3,0
18.67,100,0,0,100,0,0,0,0,0
10.48,100,0,0,96.8,0,3.2,0,0,0
20.45,81.9,9.4,8.7,36.1,2.7,0,0,0,5.3
20.72,96.7,0,3.3,7.9,40.2,1.6,1.6,1.6,4.1
12,100,0,0,0,0,100,0,0,0
14.89,85.2,1.9,12.8,40,12.8,3.9,6.5,2.9,20.3
11.14,100,0,0,62.8,2.6,10.6,21.4,0,2.6
11.2,98.6,1.4,0,66.1,0,3.6,15.7,0,1.4
7.57,100,0,0,4.6,6.5,14.1,0,0,0
13.77,76,21.4,2.6,20.4,6.1,2.8,17.9,2.3,38.3
10.55,89.3,0,10.7,82.7,0,2.5,0,0,0
12.88,94.5,5.5,0,77.9,0,2.8,12.4,0,2.3
13.28,100,0,0,27,0,48.6,22.3,0,0
19.01,100,0,0,97.2,0,2.8,0,0,0
14.27,90,0,10,90,10,0,0,0,0
11.19,89.3,10.7,0,64.3,0,0,35.7,0,0
12.65,94.5,5.5,0,64,13.1,1.1,19.1,0,0
14.56,57,36.1,6.9,13.3,7.9,16.2,58.7,0,0
21.43,100,0,0,0,0,0,0,0,0
11.19,100,0,0,60,11.5,10.4,15,0,0
12.35,93.3,4.5,2.2,84.3,1.1,0,4.5,0,0
18.41,75.7,18.8,5.5,15.7,2,0.9,26,6,1.4
15.19,61.1,38.9,0,20.2,0,5.8,24.5,0,1.9
11.99,92,3.2,4.8,50.5,42.3,4,0,0,2.1
19.38,81.4,0,18.6,1.9,78.3,5.6,0,0,3.7
13.02,65.3,13,21.8,60.3,2.3,7.6,11.1,0,0
17.46,100,0,0,72,16.9,11.1,0,0,0
10.52,100,0,0,49.8,7.9,0,4.2,0,0
12.19,100,0,0,64.9,0,9.6,0,0,0
14.18,81.5,18.5,0,3.7,0,0,17.3,5.8,0
9.04,100,0,0,40.6,8.7,20.3,0,0,6.5
7.7,100,0,0,93.6,0,0,0,0,6.4
10.83,88.6,11.4,0,97.5,0,2.5,0,0,0
9.7,100,0,0,60.9,0,0,0,0,0
11.14,91.6,8.4,0,81,5,0,5.9,0,0
9.82,100,0,0,48.5,0,0,0,0,51.5
11.78,96.4,3.6,0,44,21.5,0,14.9,0,10.6
11.81,100,0,0,92.9,0,0,7.1,0,0
13.51,46.7,46,7.3,44,0,10.7,31.3,6,0
10.86,66.4,0,33.6,46.7,2.8,0,0,0,0
12.59,98.8,1.2,0,44.8,24.6,25.7,3.3,0,0
10.5,100,0,0,100,0,0,0,0,0
12.13,84.2,6.3,9.5,29.5,0,51.6,1.6,0,0
10.86,100,0,0,73.5,0,18.4,0,0,0
7.67,100,0,0,26.7,0,0,0,0,0
11.19,96.4,3.6,0,66.4,0,0,21.6,0,0
10.87,96.8,3.2,0,94.6,0,0,3.2,0,0
13.07,100,0,0,14.2,0,0,0,0,0
14.5,96.3,0,3.7,47.6,9.1,37.2,0,1.8,2.4
12.9,74.4,23.7,1.9,28.1,2.8,22.1,15.2,0,0
12.15,100,0,0,39.5,2.5,7,24.1,0,0
13.93,90.9,3.8,5.2,28.3,21.9,26.7,11.9,0.5,1
14.08,48.4,46.6,5,1.5,14.1,0,80.4,0,2
10.42,100,0,0,91.9,0,0,0,0,0
7.91,95.9,0,4.1,10.8,0,4.1,0,0,77
13.19,93,0,7,89.5,0,0,0,1.2,0
11.32,98.1,1.9,0,38.8,14.7,3.4,12.3,0,0
17.81,87.7,11,1.3,31.1,3.2,8.2,29.9,0.9,7.8
10.32,100,0,0,7.7,9.7,82.6,0,0,0
14.38,91.9,8.1,0,36,18,0,13.5,0,0
26,100,0,0,0,0,0,0,0,0
13.26,93.3,1.5,5.2,64.6,2.9,4.6,15.2,0,0
9.46,98.3,1.7,0,70.7,0,0,1.7,0,0
9.09,100,0,0,72.7,0,0,0,0,0
10.28,100,0,0,78,1.1,2.3,3.4,0,0
13.41,82,18,0,38.5,0,11.3,3.2,0,0
17.26,77.9,13.1,9,70,6.2,4.6,0,2.1,1.5
22.76,100,0,0,13.2,3.3,0,0,0,0
13.63,66.4,23.9,9.7,34.5,5,34.9,20.2,0,0
10.61,92.1,0,7.9,97.6,0,0,0,0,0
15.65,88,12,0,43.1,1.5,2,26.3,2.3,0
10.72,96.2,3.8,0,59.2,4.7,3.4,5.9,0,10.1
13.29,66,32.7,1.3,40.2,24.5,0,14.2,0,0
11.98,64.1,25.2,10.7,59.5,6.9,15.3,4.6,0,0
11.25,92.3,4.8,2.9,52.6,1.9,37.8,4.8,0,0
14.92,77.3,22.7,0,58.4,0,4.2,13.9,0,2.5
11.39,94.8,5.2,0,88.5,0,2.1,7.3,0,0
19.81,86.8,3.8,9.3,84.7,0,1.9,0,0,0
16.27,100,0,0,70.6,13.7,0,0,0,0
11.88,95.5,0,4.5,59.6,10.6,16.7,1,0,0
22.15,100,0,0,67.5,0,0,6.3,0,0
14.65,85.7,14.3,0,39.9,0,6,19.2,1.1,4.3
12.16,94.8,5.3,0,53.1,6.9,11.6,9.9,4,1.2
9.59,93.5,6.5,0,10.9,13,0,4.3,0,0
15.65,95.3,1.7,3,27.1,0,2.4,59.1,0,0
12.06,90.6,0,9.4,2.5,0,82.4,0,0,5.6
18.03,100,0,0,35.3,15.5,23.3,0,0,0
14.17,70.7,19.5,9.8,30.2,14,29.3,12.6,0,2.8
12.01,70.9,20.1,9,36.3,0,0,46.8,0,0
15.06,98.4,1.6,0,43.9,0,4.2,34.9,0,16.9
13.92,86.8,4.6,8.5,70.1,9.7,3.4,0.7,0,4.1
9.93,62.3,37.7,0,52.7,6.4,18.4,7.2,0,14.4
9.69,91,0,9,60.4,17.3,0,0,0,9.6
12.34,60.2,38.3,1.6,39.1,1,5.2,24,0,12.2
11.82,87.9,4.8,7.4,76.3,3.2,9.7,1,3.7,3.4
11.68,100,0,0,46.1,0,29.7,18.4,0,0
13.68,90.7,0,9.3,21.3,0,17.3,33.3,2.7,25.5
12.01,91.5,7.8,0.6,73,1,0,4.8,0,8.5
12.64,98.8,0,1.2,68.4,0,27.5,0,4.1,0
13.58,89.2,10.8,0,47.7,0,2.2,35.7,0,0
15.94,56.4,21.8,21.8,0,0,0,96.4,0,0
10.05,100,0,0,39.3,0,0,18.8,0,42
12.76,100,0,0,76.4,12.7,5.2,0,0,0
13.5,77.6,22.4,0,7.8,0,0,0,0,0
16.85,92.6,7.4,0,16.8,43.1,7.4,14.9,0,5
11.35,100,0,0,62.3,12.7,0,3.1,0,0
8.36,75.9,18.6,5.5,69.1,14.5,0,0,0,0
11.26,100,0,0,100,0,0,0,0,0
